date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:03	10861/10861	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:02%20GMT	https://gict.world/bg/science/2-izsledvaniya	D:/Websites/gict.world.bg/gict.world.bg/gict.world/bg/science/2-izsledvaniya.html	(from https://gict.world/bg)
23:45:03	8896/8896	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:02%20GMT	https://gict.world/bg/page/4-kontakti	D:/Websites/gict.world.bg/gict.world.bg/gict.world/bg/page/4-kontakti.html	(from https://gict.world/bg)
23:45:03	3394/3394	---M--	200	added ('OK')	image/png	etag:%2210e1b4d-d42-5754584c13100%22	https://gict.world/img/icons/Pill.png	D:/Websites/gict.world.bg/gict.world.bg/gict.world/img/icons/Pill.png	(from https://gict.world/bg)
23:45:04	3737/3737	---M--	200	added ('OK')	image/png	etag:%2210e1b45-e99-57545b5a16600%22	https://gict.world/img/icons/huge_investors.png	D:/Websites/gict.world.bg/gict.world.bg/gict.world/img/icons/huge_investors.png	(from https://gict.world/bg)
23:45:04	10361/10361	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:01%20GMT	https://gict.world/bg/science/	D:/Websites/gict.world.bg/gict.world.bg/gict.world/bg/science/index.html	(from https://gict.world/bg)
23:45:04	615920/615920	---M--	200	added ('OK')	image/jpeg	etag:%2210e1b58-965f0-57155afe91440%22	https://gict.world/img/slider/2.jpg	D:/Websites/gict.world.bg/gict.world.bg/gict.world/img/slider/2.jpg	(from https://gict.world/bg)
23:45:04	1782/1782	---M--	200	added ('OK')	image/png	etag:%2210e1b46-6f6-56a45a9e1f9c0%22	https://gict.world/img/icons/investment.png	D:/Websites/gict.world.bg/gict.world.bg/gict.world/img/icons/investment.png	(from https://gict.world/bg)
23:45:04	4215/4215	---M--	200	added ('OK')	image/png	etag:%2210e1b4b-1077-575468c444c40%22	https://gict.world/img/icons/history.png	D:/Websites/gict.world.bg/gict.world.bg/gict.world/img/icons/history.png	(from https://gict.world/bg)
23:45:04	2115/2115	---M--	200	added ('OK')	image/png	etag:%2210e1b4e-843-56a45aa0fc080%22	https://gict.world/img/icons/send.png	D:/Websites/gict.world.bg/gict.world.bg/gict.world/img/icons/send.png	(from https://gict.world/bg)
23:45:04	2313/2313	---M--	200	added ('OK')	image/png	etag:%2210e1b52-909-575469e4473c0%22	https://gict.world/img/icons/quantum.png	D:/Websites/gict.world.bg/gict.world.bg/gict.world/img/icons/quantum.png	(from https://gict.world/bg)
23:45:05	3467/3467	---M--	200	added ('OK')	image/png	etag:%2210e1b51-d8b-57546c6cc6dc0%22	https://gict.world/img/icons/business_model.png	D:/Websites/gict.world.bg/gict.world.bg/gict.world/img/icons/business_model.png	(from https://gict.world/bg)
23:45:05	4620/4620	---M--	200	added ('OK')	image/png	etag:%2210e1b4c-120c-57546effc4080%22	https://gict.world/img/icons/web_access.png	D:/Websites/gict.world.bg/gict.world.bg/gict.world/img/icons/web_access.png	(from https://gict.world/bg)
23:45:05	3950/3950	---M--	200	added ('OK')	image/png	etag:%2210e1b55-f6e-5754726b3d200%22	https://gict.world/img/icons/science.png	D:/Websites/gict.world.bg/gict.world.bg/gict.world/img/icons/science.png	(from https://gict.world/bg)
23:45:06	12427/12427	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:04%20GMT	https://gict.world/bg/science/post/2-kak-raboti-tekhnologichniyat-model-na-informacionnite-kopiya	D:/Websites/gict.world.bg/gict.world.bg/gict.world/bg/science/post/2-kak-raboti-tekhnologichniyat-model-na-informacionnite-kopiya.html	(from https://gict.world/bg)
23:45:06	12137/12137	---M--	200	added ('OK')	image/jpeg	etag:%2210d1f63-2f69-575c0bfff2cf5%22	https://gict.world/images/blog/thumbs-small/5504e5a79cab42592f84ab7db64d3d98.jpeg	D:/Websites/gict.world.bg/gict.world.bg/gict.world/images/blog/thumbs-small/5504e5a79cab42592f84ab7db64d3d98.jpg	(from https://gict.world/bg)
23:45:06	12327/12327	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:05%20GMT	https://gict.world/bg/science/post/1-kak-chasha-voda-stava-informacionno-kopie-na-lechebni-sredstva	D:/Websites/gict.world.bg/gict.world.bg/gict.world/bg/science/post/1-kak-chasha-voda-stava-informacionno-kopie-na-lechebni-sredstva.html	(from https://gict.world/bg)
23:45:06	4579/4579	---M--	200	added ('OK')	image/jpeg	etag:%2210d1f66-11e3-575c0c93b3213%22	https://gict.world/images/blog/thumbs-small/041d3290a8b7c0cbe6ed733608b1c08f.jpeg	D:/Websites/gict.world.bg/gict.world.bg/gict.world/images/blog/thumbs-small/041d3290a8b7c0cbe6ed733608b1c08f.jpg	(from https://gict.world/bg)
23:45:06	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	D:/Websites/gict.world.bg/gict.world.bg/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://gict.world/bg)
23:45:07	37045/37045	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	D:/Websites/gict.world.bg/gict.world.bg/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://gict.world/bg)
23:45:07	77037/77037	---M--	200	added ('OK')	application/javascript	etag:%2210e1b81-12ced-572e763cdd940%22	https://gict.world/asset/js/owl.carousel.min.js	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/js/owl.carousel.min.js	(from https://gict.world/bg)
23:45:07	34695/34695	---M--	200	added ('OK')	application/javascript	etag:%2210e1b84-8787-56a45a7cbeb00%22	https://gict.world/asset/js/isotope.pkgd.min.js	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/js/isotope.pkgd.min.js	(from https://gict.world/bg)
23:45:07	5441/5441	---M--	200	added ('OK')	application/javascript	etag:%2210e1b80-1541-56a45a7cbeb00%22	https://gict.world/asset/js/imagesloaded.pkgd.min.js	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/js/imagesloaded.pkgd.min.js	(from https://gict.world/bg)
23:45:08	11438/11438	---M--	200	added ('OK')	application/javascript	etag:%2210e1b7d-2cae-56a45a7db2d40%22	https://gict.world/asset/js/jquery.meanmenu.js	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/js/jquery.meanmenu.js	(from https://gict.world/bg)
23:45:08	41730/41730	---M--	200	added ('OK')	application/javascript	etag:%2210e1b7f-a302-56a45a7db2d40%22	https://gict.world/asset/js/jquery.magnific-popup.js	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/js/jquery.magnific-popup.js	(from https://gict.world/bg)
23:45:08	62719/62719	---M--	200	added ('OK')	application/javascript	etag:%2210e1b7e-f4ff-572e762f839c0%22	https://gict.world/asset/js/plugins.js	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/js/plugins.js	(from https://gict.world/bg)
23:45:08	5446/5446	---M--	200	added ('OK')	application/javascript	etag:%2210e1b82-1546-5748eae3d8a40%22	https://gict.world/asset/js/main.js	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/js/main.js	(from https://gict.world/bg)
23:45:09	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	etag:%221544639731%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/fonts/glyphicons-halflings-regular.svg	D:/Websites/gict.world.bg/gict.world.bg/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/fonts/glyphicons-halflings-regular.svg	(from https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css)
23:45:09	165742/165742	---M--	200	added ('OK')	text/html	etag:%2210e1b60-2876e-56a45a6e70940%22	https://gict.world/asset/css/fonts/fontawesome-webfont.eot@v=4.7.0	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/css/fonts/fontawesome-webfont.eot@v=4.7.html	(from https://gict.world/asset/css/src/font-awesome.min.css)
23:45:09	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2210e1b63-2876e-56a45a6e70940%22	https://gict.world/asset/css/fonts/fontawesome-webfont.eot	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/css/fonts/fontawesome-webfont.eot	(from https://gict.world/asset/css/src/font-awesome.min.css)
23:45:09	77160/77160	---M--	200	added ('OK')	text/html	etag:%2210e1b5e-12d68-56a45a7241240%22	https://gict.world/asset/css/fonts/fontawesome-webfont.woff2@v=4.7.0	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/css/fonts/fontawesome-webfont.woff2@v=4.7.html	(from https://gict.world/asset/css/src/font-awesome.min.css)
23:45:10	98024/98024	---M--	200	added ('OK')	text/html	etag:%2210e1b64-17ee8-56a45a714d000%22	https://gict.world/asset/css/fonts/fontawesome-webfont.woff@v=4.7.0	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/css/fonts/fontawesome-webfont.woff@v=4.7.html	(from https://gict.world/asset/css/src/font-awesome.min.css)
